,Unigene ID,BREAST_BT549,BREAST_HS578T,BREAST_MCF7,BREAST_MCF7ADRr,BREAST_MDAMB231,BREAST_MDAMB435,BREAST_MDAN,BREAST_T47D,CNS_SF268,CNS_SF295,CNS_SF539,CNS_SNB19,CNS_SNB75,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HCT116,COLON_HCT15,COLON_HT29,COLON_KM12,COLON_SW620,LEUK_CCRFCEM,LEUK_HL60,LEUK_K562,LEUK_MOLT4,LEUK_RPMI8226,LEUK_SR,MELAN_LOXIMVI,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL2,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H322M,NSCLC_H460,NSCLC_H522,NSCLC_HOP62,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR3,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_OVCAR8,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_7860,RENAL_A498,RENAL_ACHN,RENAL_CAKI1,RENAL_RXF393,RENAL_SN12C,RENAL_TK10,RENAL_UO31
364351,Hs.431861,0.011,0.83,-1.168,-0.232,0.543,-1.855,-1.587,-1.41,0.603,0.471,0.666,1.307,0.468,0.446,-0.105,1.332,0.096,-0.452,-0.278,-0.212,-0.878,0.074,0.533,0.928,0.124,0.94,0.945,0.619,-0.571,0.496,-0.216,-0.265,-0.214,0.615,0.864,1.82,0.014,-0.127,0.252,-0.745,1.21,-0.1,0.251,1.298,-0.193,0.285,-0.357,0.096,-1.071,-0.375,0.229,-0.942,0.217,0.529,0.154,-0.234,0.299,1.073,0.038,-0.419
364610,Hs.396783,-1.136,-1.223,2.308,-0.261,-0.229,-0.006,-0.141,2.054,0.567,-0.171,0.561,-0.677,-1.172,0.284,0.545,0.224,0.216,0.018,0.351,-0.524,-0.541,0.86,0.196,-0.264,1.047,0.258,-0.191,-1.002,-0.389,-0.981,-0.501,-1.031,-0.096,-0.537,-1.754,-0.046,-0.828,0.207,-0.903,-0.48,0.075,-0.552,-1.014,-0.135,-0.298,-0.885,-0.116,0.373,-0.357,-1.081,-0.914,-0.716,-0.571,1.991,-0.617,0.175,-0.961,-0.368,-0.22,-0.496
364982,Hs.272062,-0.319,-0.096,-0.001,0.005,-0.855,-0.854,-0.716,0.198,0.289,-0.905,-0.869,-0.49,-0.799,-0.929,0.41,-0.138,-0.398,-0.386,-0.121,-0.059,-1.474,-0.812,-1.408,-1.879,-2.87,0.188,-1.829,0.242,-0.631,-1.154,0.182,-1.24,-1.043,-1.611,-0.722,-0.043,0.954,1.941,-0.561,-0.054,-1.389,-0.045,0.594,0.319,0.298,-0.678,0.01,-0.837,0.113,-0.23,-0.062,-0.526,0.183,0.393,0.172,0.252,-0.225,1.666,1.274,0.148
364752,Hs.502659,0.973,1.254,-0.909,-0.227,0.832,-0.623,-0.104,0.361,-0.313,0.459,-0.032,0.148,0.777,0.735,-1.115,0.069,-0.249,-0.604,0.102,-0.084,-1.113,-1.526,-3.456,0.032,-1.89,-2.734,-0.297,0.359,0.73,-0.167,1.634,0.533,-0.801,-0.654,1.032,-0.249,0.332,0.813,-0.405,0.417,-0.307,0.066,0,0.658,-0.08,-0.708,-0.13,-0.539,0.627,0.522,-0.341,0.309,0.778,1.034,0.045,0.569,0.652,0.342,1.198,0.393
364924,Hs.520708,-0.72,0.179,-1.056,0.486,0.671,-1,-1.232,-1.059,0.598,-0.095,-0.231,-1.303,0.133,-0.6,-1.103,-0.5,-0.263,-0.307,-0.486,-0.688,-0.327,-1.402,-0.838,-1.707,-2.197,-0.79,0.4,-0.475,-0.211,0.24,-0.151,-1.166,0.292,-0.397,-1.468,0.507,-1.463,2.225,-1.042,-0.54,-0.694,0.395,0.736,1.107,-0.523,-0.288,-0.721,-0.271,0.327,-0.803,-0.368,0.163,-0.006,0.478,1.257,-0.163,0.534,-0.436,0.606,1.609
364767,Hs.120323,-1.298,0.169,-2.952,-0.639,0.234,-0.1,-0.016,-2.251,-0.05,0.343,0.121,-0.23,-1.026,-0.462,0.755,0.013,-0.103,-0.952,1.584,-0.239,-0.077,-4.477,-2.772,-1.771,-3.764,-1.949,-0.555,0.752,-0.344,-0.473,-0.668,0.209,-1.546,-0.634,0.748,-0.166,0.068,0.421,-1.388,0.834,-0.517,-4.841,1.052,-0.126,0.291,-0.317,0.232,1.615,0.202,0.151,-0.464,-0.007,0.254,0.991,0.607,0.126,1.497,-0.471,1.501,0.952
365647,Hs.17483,0.914,-1.629,1.593,0.186,0.942,1.063,1.153,1.424,0.962,0.634,0.569,-0.057,-0.92,-2.672,1.334,0.698,0.569,-0.727,-1.769,-1.708,-2.616,0.625,0.372,0.13,-2.734,-0.387,-1.953,0.063,1.249,1.712,1.159,1.147,1.74,1.153,0.258,0.656,0.727,0.117,-1.679,0.534,-2.035,-1.794,-3.082,1.71,1.17,0.413,0.62,1.42,-1.14,-2.573,0.701,-0.389,0.097,0.964,0.806,0.478,0.828,0.236,0.671,-2.723
365769,Hs.532755,-1.931,-0.442,-1.697,-0.025,-0.502,1.525,1.267,-2.011,-1.249,1.298,0.607,0.431,0.437,1.052,1.06,0.004,-0.327,0.639,1.435,-0.262,-0.042,-1.29,-2.612,-3.89,-0.029,-2.102,-2.796,-1.007,0.65,1.427,1.48,1.127,2.49,1.17,1.607,-1.019,-2.257,1.148,-2.822,-1.151,1.504,-3.176,0.051,1.593,0.374,0.393,0.813,0.326,-0.91,-0.996,-1.751,-2.522,-0.014,0.705,-0.043,1.56,0.712,0.227,0.463,-0.005
365595,Hs.512629,-0.657,-1.316,0.854,-0.085,-1.547,-0.455,-0.422,0.392,-1.643,-1.124,-0.694,-1.871,-2.105,-0.601,0.194,0.623,0.685,0.652,-0.019,1.477,1.291,-0.186,0.949,0.188,0.124,0.423,0.037,0.415,-0.804,-0.406,-0.289,-0.253,0.737,-0.401,0.078,-0.413,-0.7,0.213,-0.346,0.217,0.688,-0.273,-0.33,-0.747,0.508,-0.136,-0.389,-1.034,-0.396,-0.936,-0.21,-0.48,-0.789,-0.808,-0.084,0.266,-0.693,0.732,-0.15,0.181
365558,Hs.433615,-0.237,-0.15,0.408,-0.621,-0.997,1.759,1.871,-0.552,-0.509,-1.31,-0.501,-0.147,0.547,0.161,-0.632,-0.02,0.388,0.233,-0.356,0.21,-0.699,-0.481,0.912,0.075,-1.218,0.497,-0.15,0.034,1.765,1.542,2.683,2.192,1.46,1.377,1.163,-0.21,-0.68,-0.57,-0.05,-0.823,-0.325,0.132,-0.905,-0.41,-0.541,0.534,-0.609,-1.202,-0.272,0.822,-0.186,0.566,-0.055,-0.091,0.108,0.683,0.513,-0.242,0.003,-0.628
365809,Hs.282998,1.101,1.736,-0.634,0.794,0.488,0.094,-0.303,-0.632,0.695,1.21,1.947,0.048,0.543,0.476,-0.4,-0.405,0.463,0.66,0.038,0.689,0.183,-2.639,-1.632,-1.121,-1.236,-0.594,-0.891,0.11,0.777,-0.185,-0.786,-0.086,-0.434,0.008,-0.17,0.411,0.223,0.318,0.367,0.187,0.409,0.91,0.899,0.712,0.37,0.277,0.469,0.224,1.156,1.569,0.652,-0.078,0.21,0,0.455,0.23,0.541,-0.17,0.45,0.494
365899,Hs.519294,-0.485,-0.543,-1.581,1.012,-1.553,-0.959,-1.193,-0.834,-0.382,-2.643,0.05,-0.251,0.619,-0.236,-1.679,-1.025,-0.811,-0.927,-1.636,-0.56,-1.871,-1.417,-0.185,-1.285,-1.3,-1.031,-0.113,-0.045,-0.19,-1.057,-0.941,-1.255,-0.627,-1.786,-1.213,0.226,-0.973,0.562,-1.05,-1.383,-0.327,-1.004,0.698,-1.504,0.28,1.157,-0.309,-1.116,1.374,-1.622,-0.401,0.165,0.235,0.143,-1.122,0.811,-0.1,0.395,-0.423,0.292
365926,Hs.23581,-1.172,0.684,-1.565,0.123,0.139,-0.834,-0.851,-0.35,0.312,-0.828,0.336,-0.613,0.61,-0.615,-1.406,-1.163,-1.807,-0.653,-0.491,-1.222,-1.217,-1.704,-1.699,-0.605,-2.989,-1.091,-0.032,-0.692,0.541,-0.524,-0.158,-0.516,-0.967,-0.62,-0.039,-0.567,0.046,-0.629,-1.197,0.35,-0.386,-1.073,-1.137,1.008,-1.032,-0.826,0.936,-0.118,-0.612,-0.259,-0.556,-0.682,-0.462,0.065,0.789,1.781,0.146,0.893,1.649,1.871
366252,Hs.127445,0.075,-0.894,-0.739,0.028,0.164,0.062,0.289,0.304,-0.534,0.262,-3.194,-0.364,0.674,-0.205,0.197,0.548,-0.488,0.007,0.007,0.32,-0.046,-0.331,-0.379,-3.174,-0.686,-0.058,-0.518,-0.192,1.65,2.317,-0.177,0.722,0.194,-0.723,0.05,-0.462,0.031,1.627,-0.034,0.358,0.963,-1.463,0.159,1.582,-0.135,-0.641,-1.041,0,-0.104,-1.441,0.252,-0.361,0.758,0.532,0.763,1.179,1.415,1.45,0.409,0.584
366489,Hs.151536,-0.621,-0.481,0.712,0.087,-1.005,0.385,0.498,1.007,-0.127,-0.581,0.209,0.009,0.823,-0.058,-0.44,-0.763,-0.479,-0.163,-1.437,-0.189,-1.113,-3.123,-3.057,-0.649,-4.101,-2.626,-1.942,0.69,-0.197,0.901,-0.092,0.377,0.21,-0.075,0.818,-0.459,0.536,-1.346,0.3,-1.771,0.13,0.348,0.062,0.18,-0.472,-0.396,1.312,-0.349,-0.904,-1.399,0.627,-0.386,0.374,0.128,0.008,0.922,0.63,0.297,0.391,-0.013
366242,Hs.335139,-1.342,-1.125,1.18,-1.459,-0.167,-0.66,-0.235,2.579,-0.641,-0.645,-0.829,-0.044,0.362,-0.535,0.877,0.464,0.154,0.679,0.206,0.136,-0.041,-1.095,-0.097,-0.191,-2.392,0.432,1.441,-0.033,0.651,0.696,-0.011,-0.254,0.157,-0.395,-0.435,0.126,-0.27,-1.295,-0.31,0.597,0.741,-0.59,-0.307,0.438,-0.89,-0.394,-1.002,-0.393,-1.295,-0.224,-0.155,0.811,-0.281,0.258,0.085,0.207,-0.513,-1.439,0.072,-0.629
366388,Hs.494261,0.853,0.648,-1.83,0.526,1.298,0.949,0.77,-2.016,-0.032,-0.697,0.97,0.07,0.371,0.365,0.064,-0.481,0.995,0.545,0.013,1.423,1.539,0.77,0.592,0.678,-0.266,-0.37,-2.039,-0.642,0.427,-0.043,-0.738,-0.166,0.831,0.012,0.67,0.938,-0.431,-0.446,-0.369,-0.587,0.489,-0.372,-0.823,-1.4,1.491,0.361,-0.115,-0.97,0.251,0.565,1.446,0.209,-0.113,0.122,1.387,0.122,-0.368,-0.588,0.301,-0.099
366824,Hs.95577,0.635,-0.218,0.028,0.622,0.756,0.268,0.352,-0.386,1.157,-0.603,0.497,0.602,0.105,0.284,-0.751,-0.562,0.436,0.504,-0.168,0.314,0.78,1.543,0.629,0.835,1.433,0.023,-0.115,0.066,-0.208,-0.33,0.178,-0.45,0.131,0.191,-0.502,-0.214,-0.743,-0.458,0.06,-0.217,-0.556,0.234,0.354,0.074,0.382,-1.581,0.214,-0.055,0.701,0.308,-0.408,-0.672,-0.203,-0.592,0.363,0.028,-0.379,1.5,0.177,0.059
366950,Hs.517070,-4.397,-4.879,-5.437,-4.139,-7.701,-5.139,-5.623,-4.587,-5.416,-3.385,-5.199,-4.86,-3.004,-5.346,-2.993,-1.707,-3.462,-3.627,-4.311,-3.739,-4.449,-5.528,-4.18,-4.131,-5.41,-4.082,-5.107,-4.76,-4.995,-3.821,-5.684,-4.461,-4.738,-3.738,-4.758,-3.134,-0.577,3.313,-4.551,-0.331,-1.166,-5.058,-4.538,-6.425,-2.989,0.954,-0.238,-4.069,-4.916,-1.644,-4.007,-4.09,-3.933,-3.349,-3.518,-4.275,-4.339,-5.807,-5.254,-5.124
366869,Hs.237658,0.625,0.169,-1.257,-1.419,0.447,0.08,-0.273,-0.643,0.539,0.68,2.008,0.627,1.171,0.915,0.733,-1.003,-0.387,-1.133,1.379,0.164,-1.012,0.299,0.774,-0.431,0.097,1.339,1.196,-0.395,0.448,0.453,0.415,-0.3,-0.504,-0.196,0.354,-0.953,-0.02,1.529,-0.478,-0.08,0.775,-0.986,-0.23,1.086,-0.537,-0.923,-0.368,0.22,-2.144,0.263,-0.169,-0.466,0.299,0.706,0.421,0.427,1.298,-0.108,0.141,-0.521
366806,Hs.150693,1.315,1.037,-2.626,-0.201,-0.523,-3.655,-3.663,-1.704,-0.912,-0.337,-1.258,-0.248,-1.305,-0.404,-0.434,-2.006,-0.88,-2.282,-4.226,-0.131,-2.319,-2.775,-1.383,-3.187,-2.845,-4.192,-1.861,0.96,-2.051,-2.633,-0.631,-2.11,-1.5,-3.612,-2.787,-0.006,-1.044,0.469,-2.599,0.076,-1.447,-0.926,-0.395,-0.848,0.311,-0.586,0.229,0.939,-0.147,1.038,-0.124,-0.14,1.017,0.763,-0.257,-0.08,-0.238,0.046,-2.12,1.175
366963,Hs.490203,0.636,1.986,-4.235,-0.845,-1.161,-1.227,-1.127,-3.263,1.111,0.178,0.445,-0.373,1.138,-1.145,-4.709,-2.823,-1.995,-3.131,-4.796,-2.857,-1.822,-4.314,-4.147,-4.204,-4.939,-3.751,-4.282,-1.055,-0.226,0.383,-0.897,-0.062,-0.615,-0.964,-0.633,-0.844,-0.888,-1.596,-2.376,-2.561,-1.362,-0.765,-1.186,-0.638,-1.194,-2.022,1.368,-2.405,-0.105,-2.489,-3.01,-3.086,-1.06,0.195,-1.147,-1.528,-0.287,-4.045,-2.036,-0.041
375527,Hs.534350,-0.637,-1.191,0.509,0.682,-1.442,-1.783,-1.457,-2.681,1.883,-1.202,-1.009,0.208,-1.487,0.58,-0.589,0.768,-0.61,0.219,0.202,0.15,0.343,-2.897,0.775,-3.073,-2.241,-0.393,-2.223,-2.514,-1.831,-1.29,-2.752,-2.587,-2.628,-1.948,-2.587,-0.194,-1.021,0.608,-0.237,-1.25,-0.442,-1.759,-0.136,-0.054,0.476,2.108,0.832,-0.365,0.409,-1.946,-0.181,-0.327,-1.757,-1.459,-2.235,-1.555,-1.665,-0.97,-0.836,-0.484
375569,Hs.505077,1.646,-0.9,-0.949,-0.73,1.851,0.436,0.788,0.162,-0.053,-0.887,0.053,0.446,0.29,0.193,-0.493,0.225,0.454,1.114,-0.818,0.636,-1.341,-1.81,-1.212,-2.295,-1.499,1.199,-0.757,-0.472,-0.366,1.825,1.137,0.968,1.99,0.873,0.48,-0.347,-0.488,0.794,-1.568,0.888,-0.547,-0.605,0.855,2.039,-0.118,-0.868,1.487,0.375,-0.688,-1.136,0.613,-0.646,0.567,-0.142,1.809,0.564,0.892,-1.268,1.663,1.217
376009,,-1.815,-2.241,-1.603,-1.513,-1.304,-1.843,-0.935,0.231,-2.637,-0.6,0.111,-2.13,-2.063,-1.509,-2.174,-0.959,-2.033,-1.488,-3.061,-1.251,-0.962,-1.674,-0.77,2.958,-2.574,-0.95,-1.333,-1.533,-2.662,-1.454,-0.785,-1.684,-1.127,-0.633,-1.438,-2.448,-1.848,-1.672,-2.124,-0.28,-1.475,-1.314,-1.477,-3.619,-1.895,-0.247,-0.27,-0.974,-2.247,-2.125,0.078,-0.475,-1.952,-2.705,-2.07,-1.861,-2.481,-1.691,-3.34,-2.786
376146,Hs.368641,1.361,-1.588,0.277,-0.078,-0.778,-0.399,-0.315,0.421,-1.757,-0.524,0.47,-0.217,-0.572,0.615,1.229,0.145,0.869,0.193,0.503,1.162,0.055,-1.774,0.732,-0.176,-0.544,0.001,-2.684,-0.02,-0.048,0.029,-1.247,-0.506,2.291,-0.396,-1.313,0.218,0.658,0.879,0.644,-0.065,0.299,-1.319,-0.627,-0.063,-1.094,0.578,-0.465,-1.09,-1.087,-2.289,0.406,-0.668,-0.274,0.815,-0.326,-0.625,-0.559,0.879,-0.553,-0.309
376178,Hs.530862,-0.661,3.404,-4.901,0.946,-3.388,-4.277,-4.362,-4.802,0.421,-1.807,0.227,-4.035,1.295,-3.29,-5.342,-3.882,-4.214,-3.411,-5.101,-3.771,-4.636,-4.935,-3.512,-3.939,-5.55,1.464,-5.772,-0.943,-0.339,-0.567,-1.357,1.826,-3.185,0.095,-1.067,-2.081,-2.284,-4.587,-5.264,-3.743,0.752,-5.281,-0.804,-0.199,-2.893,-4.63,-3.62,-3.101,-0.385,-3.511,-4.19,-3.816,0.637,-3.574,0.158,-0.89,0.907,-6.294,2.183,-0.84
376052,Hs.81469,-0.414,3.174,-3.484,1.045,-2.246,-3.018,-3.073,-3.255,0.715,-1.562,0.446,-2.844,0.644,-2.631,-3.902,-2.38,-3.091,-2.291,-3.875,-2.704,-3.395,-3.433,-2.805,-3.04,-4.1,1.432,-3.824,-1.215,-0.824,-0.406,-1.419,1.656,-1.982,0.01,-1.144,-2.179,-2.029,-2.689,-3.491,-2.342,0.73,-3.66,-0.549,-0.108,-2.625,-3.454,-2.85,-2.62,-0.099,-2.661,-3.272,-3.205,0.714,-3.365,0.245,-0.851,0.832,-3.255,1.942,-1.008
375834,Hs.102267,0.85,1.876,-5.441,-3.847,-2.844,-3.617,-5.83,-5.51,-0.015,-0.505,0.695,-3.385,1.08,-2.674,-5.44,-3.984,-4.357,-4.71,-6.21,-4.725,-5.176,-5.199,-4.341,-4.168,-5.994,-4.654,-6.192,-4.023,-4.062,-3.716,-3.178,-1.861,-5.929,-3.765,-5.36,-3.927,-3.923,3.011,-5.521,-4.502,-4.398,-5.421,-0.421,-1.974,-3.358,-3.252,-2.821,-3.618,-1.939,-3.955,-3.713,-3.764,-4.05,-3.836,-0.839,-1.891,0.243,-4.108,-2.216,-1.506
375837,Hs.108969,-0.035,1.837,0.38,0.51,-0.285,-0.397,-0.561,-1.071,0.928,-0.375,0.746,-0.309,0.057,-1.146,-1.08,-0.768,-0.984,-0.419,-2.402,-0.614,-1.577,-0.686,-0.923,-0.66,-1.158,0.93,-1.016,-0.79,-0.793,-0.195,-0.286,-0.022,-0.663,-0.19,0.039,-0.684,-0.73,-0.776,-1.53,-0.598,0.394,-1.242,-0.378,0.13,-1.093,-1.071,-0.717,-1.305,-0.213,-1.197,-0.939,-0.466,0.152,-0.58,0.005,-0.363,0.599,-0.762,0.167,-0.433
376413,Hs.473420,0.001,0.022,-2.702,0.938,-0.136,-0.186,-0.502,-3.37,1.469,-0.184,0.391,0.464,0.715,-0.158,-1.834,0.057,0.524,0.593,-1.531,-0.717,-1.702,-0.486,-1.099,-0.655,-0.441,-0.764,-0.488,0.403,0.283,0.348,1.172,0.997,-0.158,0.901,0.31,-0.417,-0.165,0.812,-0.039,0.172,-0.366,1.198,1.092,0.192,0.172,1.324,0.579,-0.771,1.288,0.375,0.847,-1.164,0.146,-0.217,-0.074,0.614,-0.506,0.648,-0.299,-0.745
376941,Hs.201083,-3.755,-4.872,0.583,-4.537,-6.519,-5.607,-4.948,0.511,-5.234,-3.337,-5.064,-4.719,-4.365,-4.301,0.677,1.433,-0.154,1.056,2.644,2.095,-4.803,-3.367,-3.766,-4.805,-5.31,-3.868,-4.68,-3.89,-4.182,-3.46,-4.768,-2.978,-4.365,-3.603,-5.301,-2.425,-1.237,-1.816,-4.661,2.613,-4.275,-4.801,-3.461,-5.069,1.37,0.256,0.675,-2.004,-3.449,1.251,-0.658,1.517,-1.707,-0.52,1.426,0.36,-0.486,-6.359,1.577,1.14
376951,Hs.505136,1.098,0.312,-0.142,-0.229,0.552,1.146,0.954,-0.328,1.235,0.04,0.309,1.921,2.491,1.158,-0.911,-0.265,-0.118,0.29,-0.334,0.193,-0.367,-0.611,-0.701,0.002,-0.719,-0.284,-0.414,-0.145,1.608,0.966,1.24,1.331,0.378,0.887,2.202,0.562,0.675,-0.285,-0.026,0.556,0.152,-0.873,0.848,-0.33,-0.37,0.633,-1.053,-0.007,0.007,0.917,-0.414,0.112,0.344,0.299,0.368,0.033,0.094,-0.014,-0.701,-0.251
376858,Hs.487994,0.909,-0.238,-0.357,0.09,0.889,0.539,0.477,-0.082,-0.085,0.154,1.107,0.592,0.863,0.261,1.519,2.065,0.622,1.014,1.173,1.493,0.548,0.076,-0.358,0.096,-0.104,0.555,1.6,0.611,0.502,-0.685,-0.001,0.295,0.692,-0.256,-0.402,1.429,-0.477,0.022,0.848,1.034,2.287,0.006,0.115,-0.458,0.232,0.103,-0.771,-0.087,0.9,0.358,0.789,0.79,0.895,1.266,0.236,-0.498,0.487,0.269,1.207,-0.159
376708,Hs.380906,-0.411,0.509,-2.334,-0.745,0.088,-1.754,-2.402,-1.94,-1.223,-0.728,-1.071,-0.676,-1.148,-1.239,-0.562,-1.725,-1.414,-0.93,-1.424,-1.829,-1.434,-2.261,0.209,-1.261,-2.731,-2.018,-3.621,-0.863,-2.159,-2.569,-3.171,-1.931,-2.595,-2.103,-2.183,0,-0.527,-0.057,-1.685,-0.096,-1.59,-1.813,-0.778,-1.151,-0.437,1.306,1.507,-0.52,-0.495,-0.303,-0.54,-0.609,-0.851,0.535,-3.111,-0.035,-0.006,-1.08,0.067,-0.598
377215,Hs.128065,-0.68,0.339,-2.422,-0.035,-0.164,1.717,1.656,-2.879,1.813,0.129,-0.237,0.342,1.125,0.417,0.833,0.472,-1.545,-1.425,1.089,0.387,0.806,0.516,0.774,0.653,-0.092,0.251,-0.22,0.438,0.298,-0.569,-0.207,0.721,0.84,0.618,0.084,-0.611,0.873,-0.742,-0.075,1.926,2.717,-1.255,-0.739,0.984,-0.305,-0.733,-0.215,1.261,0.507,-0.222,-0.817,0.004,-0.857,0.649,1.278,0.695,0.191,0.686,-0.162,1.558
377272,Hs.280378,0.119,-0.086,0.031,-0.325,-0.361,1.803,1.967,0.052,0.376,-0.376,0.68,0.254,0.108,-0.357,0.187,-0.308,0.054,-0.224,-0.38,-0.344,0.348,1.187,0.785,0.174,0.941,0.108,0.671,0.644,0.843,1.021,2.011,0.661,-0.223,0.368,2.646,0.652,0.078,0.17,0.11,-0.361,0.113,0.329,0.715,-0.702,0.164,0.934,0.152,-0.073,-0.555,-0.018,-0.44,0.276,0.288,0.488,0.11,-0.433,0.218,-0.773,0.853,0.061
377004,Hs.523710,-2.094,-0.741,-2.927,-1.684,-2,-3.097,-3.165,-3.42,-2.201,-0.692,0.672,-2.32,-1.044,-0.559,-2.431,-2.727,-2.784,-2.376,-2.301,-2.422,-3.059,-2.528,-2.98,-2.852,-2.491,-2.441,-2.315,-1.762,-2.069,-2.722,-2.678,-2.982,-4.076,-2.799,-3.779,-0.228,-0.022,3.011,-2.652,-1.392,-1.873,-3.265,0.198,-2.192,-2.771,-2.959,-2.818,-1.545,1.582,-1.693,-1.646,-2.592,-0.333,-1.254,-1.941,-0.318,-1.693,-2.035,-0.888,-0.59
377282,Hs.368641,2.131,-0.936,0.221,0.068,-0.213,0.299,0.643,0.55,-1.413,-0.152,0.284,-0.049,-0.857,1.015,1.039,0.463,0.955,0.096,0.261,1.503,-0.27,-1.64,0.497,-0.072,-0.337,0.281,-2.099,0.139,-0.201,0.064,-0.656,0.247,3.349,0.749,-0.109,-0.049,0.86,0.784,0.521,0.43,0.4,-1.545,-0.797,-0.085,-0.968,1.111,-1.069,-1.151,-1.152,-2.136,0.731,-0.832,0.02,0.555,-0.351,-0.696,-0.307,1.441,-0.776,-0.25
377701,Hs.443681,-1.914,1.78,-5.157,-4.177,-6.607,-1.682,-4.895,-4.712,-0.803,0.292,-0.278,0.525,1.573,-1.527,-5.244,-3.671,-1.069,-4.222,-6.032,-3.76,-5.503,-4.905,-4.435,-4.275,-4.7,-3.473,-0.591,-0.031,-4.514,-3.952,-3.829,-3.526,-1.397,-4.45,-0.423,-0.745,-0.449,-4.751,-2.342,-4.17,-4.93,-2.905,-1.926,-0.488,-0.692,-0.62,-1.294,-4.413,-3.682,1.284,-3.741,-2.954,-0.131,1.107,1.041,2.272,1.328,-5.847,1.094,1.465
377377,Hs.519346,0.838,-1.541,-0.455,1.465,0.296,-1.051,-0.908,-0.371,-0.535,0.119,0.118,-0.108,-0.472,0.549,0.629,0.526,-0.282,0.411,0.619,0.587,0.18,0.554,-1.452,-0.236,0.582,-0.093,-0.323,0.761,-0.784,-0.498,-0.232,0.004,0.458,0.166,-1.016,-0.064,-0.322,0.422,-0.347,0.672,-0.378,0.222,-0.202,-0.236,-0.305,-0.582,-0.965,0.781,1.644,0.879,1.603,-1.305,-0.49,1.053,1.002,1.527,-0.066,1.833,0.95,0.685
377353,Hs.512607,-0.715,0.258,-0.218,-1.124,-0.482,-0.283,0.224,-0.425,-0.281,-0.294,-0.089,-0.643,-0.054,-0.807,-0.525,-0.695,-0.654,-0.591,-0.606,-0.616,-1.639,-1.35,-0.748,-1.136,-1.485,-1.003,-1.619,-1.003,0.698,-0.445,-1.117,-0.601,-0.15,-0.892,-0.043,-0.163,-0.172,-0.676,-1.405,-0.073,-0.35,-0.703,0.8,-1.251,-0.899,0.458,-0.49,-0.265,-1.004,-0.465,-0.971,1.863,-0.846,-0.539,-0.292,-0.119,-1.509,-0.947,-0.831,-0.647
380294,Hs.496512,-0.757,0.883,-0.876,-1.676,-0.971,-3.725,-4.01,0.437,-1.195,-2.625,-2.602,1.904,3.033,1.73,-3.049,-1.637,-2.608,-2.983,-3.073,-2.947,-3.243,-2.941,-2.176,-3.021,-2.505,-3.407,-2.657,-1.47,-3.466,-2.656,-3.061,-2.964,-3.379,-2.902,-3.571,-2.278,-0.113,2.156,-1.381,-0.23,0.839,-2.75,0.609,0.095,-2.201,-2.15,-2.182,-2.878,-1.551,-2.195,0.008,-1.456,-1.774,-0.822,-3.13,-1.523,-0.904,2.438,-3.483,1.391
380371,Hs.370510,-1.14,-1.057,-0.761,-1.866,0.133,0.078,-0.052,-0.784,-1.208,1.688,-0.422,0.979,-1.492,0.05,-0.127,0.941,-0.638,0.758,-0.081,0.853,1.164,1.053,0.461,-0.003,0.529,-1.082,-3.323,-0.372,0.294,-2.698,-0.89,-2.641,-0.733,-1.028,0.338,-0.637,0.195,0.961,-0.005,1.367,0.254,-1.967,0.094,1.022,-0.444,-0.246,-0.277,0.192,-1.365,0.5,-1.127,0.016,0.617,1.103,1.931,-0.02,0.787,-0.359,1.106,1.499
380450,Hs.495960,1.018,0.986,-1.346,-0.463,0.019,0.974,1.042,1.493,0.119,0.822,-0.478,1.034,1.755,1.641,-0.021,0.072,-0.511,-0.342,-1.146,-0.187,0.394,-0.769,-0.727,-0.907,-1.721,0.377,0.157,-0.576,0.858,0.557,0.721,0.44,0.44,0.751,1.054,0.078,1.1,0.786,0.863,-0.285,0.536,-0.592,-0.676,1.181,0.633,-0.214,0.877,-0.503,-1.085,0.204,-0.24,0.203,0.718,-0.093,-0.736,1.223,1.371,1.299,-0.143,0
380425,Hs.501012,-3.643,-0.555,-1.366,-0.375,-0.679,0.692,0.212,-1.511,-0.998,-2.248,0.126,-1.153,0.457,-0.643,0.949,1.98,-0.384,0.883,1.134,2.025,0.676,0.925,-0.032,-0.414,-1.582,-1.458,-0.408,-1.114,0.55,0.294,-0.178,0.323,1.368,-0.695,-1.12,-1.201,-3.134,-1.725,0.063,0.91,0.119,-0.24,-1.672,0.427,0.426,0.797,0.4,-0.508,-0.503,-0.242,-0.872,-0.574,-0.113,-1.443,-0.318,0.873,0.225,-1.886,-1.572,-1.142
